family,count,classification,action,equipment_groups,same_equipment_groups,ids,names,sources
squat,7,review_same_equipment_duplicates,manual_review_same_equipment,banda:squat-band; barra:squat-barbell; peso_corporal:squat-bodyweight; mancuerna:squat-dumbbell; maquina:squat-machine|squat-smith-machine; suspension:squat-suspension,maquina:squat-machine|squat-smith-machine,squat-band|squat-barbell|squat-bodyweight|squat-dumbbell|squat-machine|squat-smith-machine|squat-suspension,Squat (Band)|Squat (Barbell)|Squat (Bodyweight)|Squat (Dumbbell)|Squat (Machine)|Squat (Smith Machine)|Squat (Suspension),catalog-json
bicep-curl,6,review_generic_or_missing_equipment,decide_default_variant_or_fill_equipment,unknown:bicep-curl; barra:bicep-curl-barbell; cable:bicep-curl-cable; mancuerna:bicep-curl-dumbbell; maquina:bicep-curl-machine; suspension:bicep-curl-suspension,,bicep-curl|bicep-curl-barbell|bicep-curl-cable|bicep-curl-dumbbell|bicep-curl-machine|bicep-curl-suspension,Bicep Curl|Bicep Curl (Barbell)|Bicep Curl (Cable)|Bicep Curl (Dumbbell)|Bicep Curl (Machine)|Bicep Curl (Suspension),catalog-json
deadlift,5,valid_equipment_variants,keep_as_variants,banda:deadlift-band; barra:deadlift-barbell; mancuerna:deadlift-dumbbell; maquina:deadlift-smith-machine; otro:deadlift-trap-bar,,deadlift-band|deadlift-barbell|deadlift-dumbbell|deadlift-smith-machine|deadlift-trap-bar,Deadlift (Band)|Deadlift (Barbell)|Deadlift (Dumbbell)|Deadlift (Smith Machine)|Deadlift (Trap bar),catalog-json
front-raise,5,valid_equipment_variants,keep_as_variants,banda:front-raise-band; barra:front-raise-barbell; cable:front-raise-cable; mancuerna:front-raise-dumbbell; suspension:front-raise-suspension,,front-raise-band|front-raise-barbell|front-raise-cable|front-raise-dumbbell|front-raise-suspension,Front Raise (Band)|Front Raise (Barbell)|Front Raise (Cable)|Front Raise (Dumbbell)|Front Raise (Suspension),catalog-json
shrug,5,review_same_equipment_duplicates,manual_review_same_equipment,barra:shrug-barbell; cable:shrug-cable; mancuerna:shrug-dumbbell; maquina:shrug-machine|shrug-smith-machine,maquina:shrug-machine|shrug-smith-machine,shrug-barbell|shrug-cable|shrug-dumbbell|shrug-machine|shrug-smith-machine,Shrug (Barbell)|Shrug (Cable)|Shrug (Dumbbell)|Shrug (Machine)|Shrug (Smith Machine),catalog-json
standing-calf-raise,5,review_same_equipment_duplicates,manual_review_same_equipment,unknown:standing-calf-raise; barra:standing-calf-raise-barbell; mancuerna:standing-calf-raise-dumbbell; maquina:standing-calf-raise-machine|standing-calf-raise-smith,maquina:standing-calf-raise-machine|standing-calf-raise-smith,standing-calf-raise|standing-calf-raise-barbell|standing-calf-raise-dumbbell|standing-calf-raise-machine|standing-calf-raise-smith,Standing Calf Raise|Standing Calf Raise (Barbell)|Standing Calf Raise (Dumbbell)|Standing Calf Raise (Machine)|Standing Calf Raise (Smith),catalog-json
triceps-extension,5,valid_equipment_variants,keep_as_variants,barra:triceps-extension-barbell; cable:triceps-extension-cable; mancuerna:triceps-extension-dumbbell; maquina:triceps-extension-machine; suspension:triceps-extension-suspension,,triceps-extension-barbell|triceps-extension-cable|triceps-extension-dumbbell|triceps-extension-machine|triceps-extension-suspension,Triceps Extension (Barbell)|Triceps Extension (Cable)|Triceps Extension (Dumbbell)|Triceps Extension (Machine)|Triceps Extension (Suspension),catalog-json
bench-press,4,valid_equipment_variants,keep_as_variants,barra:bench-press-barbell; cable:bench-press-cable; mancuerna:bench-press-dumbbell; maquina:bench-press-smith-machine,,bench-press-barbell|bench-press-cable|bench-press-dumbbell|bench-press-smith-machine,Bench Press (Barbell)|Bench Press (Cable)|Bench Press (Dumbbell)|Bench Press (Smith Machine),catalog-json
chest-fly,4,valid_equipment_variants,keep_as_variants,banda:chest-fly-band; mancuerna:chest-fly-dumbbell; maquina:chest-fly-machine; suspension:chest-fly-suspension,,chest-fly-band|chest-fly-dumbbell|chest-fly-machine|chest-fly-suspension,Chest Fly (Band)|Chest Fly (Dumbbell)|Chest Fly (Machine)|Chest Fly (Suspension),catalog-json
decline-bench-press,4,review_same_equipment_duplicates,manual_review_same_equipment,barra:decline-bench-press-barbell; mancuerna:decline-bench-press-dumbbell; maquina:decline-bench-press-machine|decline-bench-press-smith-machine,maquina:decline-bench-press-machine|decline-bench-press-smith-machine,decline-bench-press-barbell|decline-bench-press-dumbbell|decline-bench-press-machine|decline-bench-press-smith-machine,Decline Bench Press (Barbell)|Decline Bench Press (Dumbbell)|Decline Bench Press (Machine)|Decline Bench Press (Smith Machine),catalog-json
