V=video Storage, e=externo, -=sin video

- ab-scissors                                    Tijeras abdominales
- ab-wheel                                       Rueda abdominal
- aerobics                                       Aeróbic
- air-bike                                       Bicicleta de aire
V arnold-press-dumbbell                          Press Arnold (Mancuerna)
- around-the-world                               Around the World (Círculos con mancuernas)
- assisted-pistol-squats                         Sentadilla pistol asistida
- back-extension-hyperextension                  Extensión de espalda (Hiperextensión)
V back-extension-machine                         Extensión de espalda (Máquina)
- back-extension-weighted-hyperextension         Extensión de espalda (Hiperextensión con peso)
- ball-slams                                     Golpes con balón medicinal
- band-pullaparts                                Aperturas con banda
V barbell-curl                                   Curl con barra
V barbell-row                                    Remo con barra
- battle-ropes                                   Cuerdas de batalla
- behind-the-back-bicep-wrist-curl-barbell       Curl de muñeca tras la espalda (Barra)
- behind-the-back-curl-cable                     Curl tras la espalda (Polea)
V belt-squat-machine                             Sentadilla con cinturón (Máquina)
V bench-dip                                      Fondo en banco
V bench-press-barbell                            Press de banca (Barra)
V bench-press-cable                              Press de banca (Polea)
V bench-press-close-grip-barbell                 Press de banca agarre cerrado (Barra)
V bench-press-dumbbell                           Press de banca (Mancuerna)
- bench-press-smith-machine                      Press de banca (Multipower)
- bench-press-wide-grip-barbell                  Press de banca agarre abierto (Barra)
V bent-over-row-band                             Remo inclinado (Banda)
V bent-over-row-barbell                          Remo inclinado (Barra)
- bent-over-row-dumbbell                         Remo inclinado (Mancuerna)
- bicep-curl-barbell                             Curl de bíceps (Barra)
- bicep-curl-cable                               Curl de bíceps (Polea)
- bicep-curl-dumbbell                            Curl de bíceps (Mancuerna)
V bicep-curl-machine                             Curl de bíceps (Máquina)
- bicep-curl-suspension                          Curl de bíceps (TRX)
V bicycle-crunch                                 Crunch bicicleta
- bicycle-crunch-raised-legs                     Crunch bicicleta con piernas elevadas
V bird-dog                                       Bird dog (Perro de muestra)
V box-jump                                       Salto al cajón
- box-squat-barbell                              Sentadilla al cajón (Barra)
- boxing                                         Boxeo
V bulgarian-split-squat                          Sentadilla búlgara
V burpee                                         Burpee
- burpee-over-the-bar                            Burpee sobre la barra
- butterfly-pec-deck                             Contractor de pecho (Pec Deck)
- cable-core-palloff-press                       Press Pallof en polea
V cable-crunch                                   Crunch en polea
V cable-fly                                      Cruces en polea
V cable-pull-through                             Pull through en polea
- cable-twist-down-to-up                         Giro en polea (de abajo hacia arriba)
- cable-twist-up-to-down                         Giro en polea (de arriba hacia abajo)
- calf-extension-machine                         Extensión de gemelos (Máquina)
- calf-press-machine                             Press de gemelos (Máquina)
V calf-raise                                     Elevación de pantorrillas
- chest-dip-assisted                             Fondo de pecho (Asistido)
- chest-dip-weighted                             Fondo de pecho (Con peso)
V chest-fly-band                                 Apertura de pecho (Banda)
V chest-fly-dumbbell                             Apertura de pecho (Mancuerna)
- chest-fly-machine                              Apertura de pecho (Máquina)
V chest-fly-suspension                           Apertura de pecho (TRX)
V chest-press-band                               Press de pecho (Banda)
V chest-press-machine                            Press de pecho (Máquina)
- chest-supported-incline-row-dumbbell           Remo inclinado con soporte de pecho (Mancuerna)
- chest-supported-reverse-fly-dumbbell           Apertura inversa con soporte de pecho (Mancuerna)
- chest-supported-y-raise-dumbbell               Elevación en Y con soporte de pecho (Mancuerna)
V chin-up-assisted                               Dominada supina (Asistida)
- chin-up-weighted                               Dominada supina (Con peso)
- clamshell                                      Almeja (Clamshell)
- clap-push-ups                                  Flexiones con palmada
V clean                                          Cargada
V clean-and-jerk                                 Cargada y envión
V clean-and-press                                Cargada y press
- clean-pull                                     Tirón de cargada
- climbing                                       Escalada
V close-grip-bench-press                         Press cerrado
V concentration-curl                             Curl concentrado
- cross-body-hammer-curl                         Curl martillo cruzado
V crunch-machine                                 Crunch (Máquina)
- crunch-weighted                                Crunch (Con peso)
- curtsy-lunge-dumbbell                          Estocada cruzada (Mancuerna)
- cycling                                        Ciclismo
V dead-bug                                       Dead bug (Bicho muerto)
V dead-hang                                      Colgado pasivo
- deadlift-band                                  Peso muerto (Banda)
V deadlift-barbell                               Peso muerto (Barra)
- deadlift-dumbbell                              Peso muerto (Mancuerna)
- deadlift-high-pull                             Peso muerto con tirón alto
- deadlift-smith-machine                         Peso muerto (Multipower)
V deadlift-trap-bar                              Peso muerto (Barra hexagonal)
- decline-bench-press-barbell                    Press de banca declinado (Barra)
V decline-bench-press-dumbbell                   Press de banca declinado (Mancuerna)
- decline-bench-press-machine                    Press de banca declinado (Máquina)
- decline-bench-press-smith-machine              Press de banca declinado (Multipower)
V decline-chest-fly-dumbbell                     Apertura declinada (Mancuerna)
- decline-crunch-weighted                        Crunch declinado (Con peso)
V decline-push-up                                Flexión declinada
- diamond-push-up                                Flexión diamante
V downward-dog                                   Perro boca abajo
V drag-curl                                      Curl de arrastre
- dragon-flag                                    Dragon flag
- dragonfly                                      Dragonfly
- dumbbell-row                                   Remo con mancuerna
- dumbbell-snatch                                Arranque con mancuerna
V dumbbell-squeeze-press                         Press de presión con mancuernas
V dumbbell-step-up                               Subida al cajón (Mancuerna)
- elbow-to-knee                                  Codo a rodilla
- elliptical-trainer                             Elíptica
- ez-bar-biceps-curl                             Curl de bíceps (Barra Z)
V face-pull                                      Jalón al rostro
V farmers-walk                                   Caminata del granjero
- feet-up-bench-press-barbell                    Press de banca con pies arriba (Barra)
- fire-hydrants                                  Hidrante (Fire hydrant)
V floor-press-barbell                            Press en el suelo (Barra)
V floor-press-dumbbell                           Press en el suelo (Mancuerna)
- floor-triceps-dip                              Fondo de tríceps en el suelo
